match,sentence,ref,node,keep
Bòtɛla.ˈ ,mə́ra ʾáyya Jazíra Bòtɛla.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 26",771050,N
Lelìθɛla.ˈ ,ʾáy Lelìθɛla.ˈ ,"Barwar, Baby Leliθa, Ln. 6",743332,N
Lelìθɛle.ˈ ,wíra gu-gə́ppət Lelìθɛle.ˈ ,"Barwar, The Fox and the Miller, Ln. 24",758589,N
b-gànɛla.ˈ,rába híre b-gànɛla.ˈ,"Barwar, The Crafty Hireling, Ln. 34",756071,N
b-o-ʾisàrɛla.ˈ ,"tullə́kθa lɛ́la ṣlàya,ˈ síqta b-o-ʾisàrɛla.ˈ ","Barwar, The Crafty Hireling, Ln. 10",755434,N
b-àyyɛla.ˈ,hadìyaˈ mšắrəx xa-táqa xènaˈ ʾítle ʿăláqa bə-d-àyya yáʿniˈ hám líqta b-àyyɛla.ˈ,"Barwar, Gozali and Nozali, Ln. 20",745400,N
b-ó-kɛla ,ʾína màrɛleˈ b-ó-kɛla pɛ́šət kìlaˈ b-d-àw pɛ́šət kíla.ˈ ,"Barwar, Measure for Measure, Ln. 6",749317,N
balàyɛleˈ ,mə́re ʾáwwa balàyɛleˈ yan-ʾáwwa dáwəq wàjju.ˈ ,"Barwar, The Tale of Rustam (2), Ln. 18",777957,N
"basìmɛle,ˈ ","ʾáyya θìθɛla,ˈ lə́bba basìmɛle,ˈ θíθɛla ʾax-d-ɛ́-ga qamɛ̀θaˈ θíθɛla mṭíθɛla tàmaˈ há lɛ̀kət zála?ˈ ","Barwar, The Tale of Mərza Pămət, Ln. 34",773834,N
basìṭɛla.ˈ ,mə́re ma-yxàləfˈ basìṭɛla.ˈ ,"Barwar, The Monk Who Wanted to Know When He Would Die, Ln. 9",764733,N
"baxtàθɛla,ˈ ","málka ṱ-áwe basìma,ˈ kùllaˈ ʾárbi bnàθɛla láxxa,ˈ baxtàθɛla,ˈ dáx létu mṣáya bìya?ˈ ","Barwar, The King With Forty Sons, Ln. 59",762037,N
"bdìlɛle,ˈ ","ʾən-ʾáyya ʾisə́qθi xɛ̀rət,ˈ ʾən-ṭúwət ʾisə́qθi bdìlɛle,ˈ mšadrátla ʾárye ṱ-àθa,ˈ ʾána gu-ʾawqànən.ˈ ","Barwar, Baby Leliθa, Ln. 13",743556,N
be-nxə̀pθɛle.ˈ ,mə́re xzí hátxa be-nxə̀pθɛle.ˈ ,"Barwar, A Hundred Gold Coins, Ln. 11",740083,N
biš-xámθɛla ,"ʾánna ʾímə ṱ-íla wíta Səttìye,ˈ ʾáy biš-xámθɛla m-kùlla,ˈ qímela zìleˈ mămóṣe ʾə̀rbe,ˈ mămóṣe pàṛe.ˈ ","Barwar, The Tale of Farxo and Səttiya, Ln. 26",768586,N
biš-zlìmɛle ,ʾáwwa ʿafrī́t biš-zlìmɛle mə́nnən.ˈ ,"Barwar, A Tale of Two Kings, Ln. 16",741388,N
biš-zlìmɛle.ˈ ,ʾáwwa biš-zlìmɛle.ˈ ,"Barwar, A Tale of Two Kings, Ln. 16",741405,N
biš-šapìrtɛla ,ʾáy biš-šapìrtɛla Səttíye.ˈ ,"Barwar, The Tale of Farxo and Səttiya, Ln. 20",768396,N
biš-šapìrtɛla.ˈ,Náze mə̀raˈ múr ʾɛ̀ni-mənnənˈ biš-šapìrtɛla.ˈ,"Barwar, The Tale of Farxo and Səttiya, Ln. 17",768313,N
biš-šapírtɛla?ˈ ,mə́ra ʾɛ̀ni mə́nnən biš-šapírtɛla?ˈ ,"Barwar, The Tale of Farxo and Səttiya, Ln. 21",768457,N
bnàθɛla ,"málka ṱ-áwe basìma,ˈ kùllaˈ ʾárbi bnàθɛla láxxa,ˈ baxtàθɛla,ˈ dáx létu mṣáya bìya?ˈ ","Barwar, The King With Forty Sons, Ln. 59",762035,N
"bratey-zòrtɛla,ˈ ","xšíwla bratey-zòrtɛla,ˈ ʾánna là-yăði.ˈ ","Barwar, Baby Leliθa, Ln. 6",743342,N
"bràtɛla,ˈ ","bràtɛla,ˈ hóla láxxa Nozàlila,ˈ xáθət Gozàli.ˈ ","Barwar, Gozali and Nozali, Ln. 84",747929,N
bráyɛle ,xá-zawga bráyɛle b-rešèy.ˈ ,"Barwar, The Tale of Mămo and Zine, Ln. 90",772979,N
"brìθɛla,ˈ ","zílɛle mə́re ʾə́lle dìyeˈ yà bróni,ˈ bás ʾamrə̀tliˈ b-duzùθaˈ dàx ʾáyya bráta wiðálux brátət bɛ́θaˈ ʾu-palàxta-wˈ mbašòleˈ ʾu-xyàpa-wˈ mšàya-wˈ knàša-wˈ mbašòleˈ ʾu-kúl-xa mə́ndi wàða,ˈ ká-t gu-bɛ́θi qímta brìθɛla,ˈ lɛ́la plìxta-wˈ ʾu-hàl ʾə́dyo yóma?ˈ ","Barwar, The Daughter of the King, Ln. 34",757613,N
brōn-ṭaxxanɛ̀θɛle.ˈ ,ʾáw ṭaxxána brōn-ṭaxxanɛ̀θɛle.ˈ ,"Barwar, The Fox and the Miller, Ln. 28",758710,N
bsìmɛle.ˈ ,"mə́xyəlle b-ʾɛ́nət bábe dìye,ˈ bábe díye bsìmɛle.ˈ ","Barwar, The Tale of Parizada, Warda and Nargis, Ln. 35",775573,N
bxìθɛlaˈ ,bxìθɛlaˈ ʾu-zínta góte dìye.ˈ ,"Barwar, Gozali and Nozali, Ln. 71",747392,N
bàxtɛla ,"mìðən mó,ˈ bàxtɛla dé!ˈ ","Barwar, The King With Forty Sons, Ln. 38",761270,N
bàxtɛlaˈ ,ʾay-píšta bàxtɛlaˈ ʾu-ʾáwwa píša xóna mə́nna dìya.ˈ,"Barwar, The Girl and the Seven Brothers, Ln. 31",759894,N
báxtɛla ,ʾɛ́ni báxtɛla mubrɛ̀θa?ˈ ,"Barwar, The Tale of Farxo and Səttiya, Ln. 6",768018,N
bə̀ryɛle.ˈ ,"xwarzàye,ˈ Bèjəm,ˈ ʾáw gu-d-ɛ́-dana bə̀ryɛle.ˈ ","Barwar, The Tale of Rustam (1), Ln. 9",776731,
bə̀ryɛle.ˈ ,"gu-d-ɛ̀-danaˈ ṱ-íle xále díye plíṭa zála ta-t-šáqəl tòle,ˈ Béjəm bə̀ryɛle.ˈ ","Barwar, The Tale of Rustam (1), Ln. 9",776741,
bə̀xyɛle?ˈ ,ʾo-xéna mə́re la-yắðət mo-qálət bə̀xyɛle?ˈ ,"Barwar, A Tale of a Prince and a Princess, Ln. 45",742718,
bə́nyɛle.ˈ ,kúlle b-qarqupyàθa bə́nyɛle.ˈ ,"Barwar, The Tale of Parizada, Warda and Nargis, Ln. 51",776230,
bə́xyɛle?ˈ ,xá-mənna mə́re ʾáwwa mò-qalət bə́xyɛle?ˈ ,"Barwar, A Tale of a Prince and a Princess, Ln. 44",742713,
"bəṛ-nàšɛle,ˈ ","ʾáp-ʾaw bəṛ-nàšɛle,ˈ bás xa-tắhər xènɛle.ˈ ","Barwar, The Giant’s Cave, Ln. 3",758973,N
bəṛ-nàšɛle.ˈ ,mə́re ʾáxni heywànewəxˈ ʾăwáha bəṛ-nàšɛle.ˈ ,"Barwar, The Tale of Mərza Pămət, Ln. 5",773120,N
bəṛ-nàšɛle.ˈ ,hèˈ ʾámər ʾáwwa réšət bəṛ-nàšɛle.ˈ ,"Barwar, The Tale of Rustam (1), Ln. 4",776606,N
bɛ̀θɛlaˈ ,mə́re b-xšàwənˈ ʾáyya bràtaˈ brátət bɛ̀θɛlaˈ w-áxni làx-ðiye bíya díya.ˈ,"Barwar, The Daughter of the King, Ln. 24",757328,N
"bɛ̀θɛle,ˈ ","ṣə́lya bɛ̀θɛle,ˈ də-súq sùqˈ hadíya gáwṛəx píša jănàzɛle.ˈ ","Barwar, I Am Worth the Same as a Blind Wolf, Ln. 13",748949,N
bɛ̀θɛle.ˈ ,ʾə́θya bɛ̀θɛle.ˈ ,"Barwar, The Crafty Hireling, Ln. 12",755472,N
bɛ̀θɛle:ˈ ,ʾə́θya bɛ̀θɛle:ˈ ʾa-mu-wìdlux?ˈ ,"Barwar, The Crafty Hireling, Ln. 13",755474,N
d-o-sùsɛle.ˈ ,"ga-sàqa,ˈ mə́ṭye mə́re hòwileˈ ʾawwáʾha tằraˈ d-o-sùsɛle.ˈ ","Barwar, The King With Forty Sons, Ln. 64",762208,N
